,importance,stddev,p_value,n,p99_high,p99_low
rgb360_std,0.012787723785166238,0.0,0.5,3,0.012787723785166238,0.012787723785166238
aud125_min,0.012787723785166238,0.0,0.5,3,0.012787723785166238,0.012787723785166238
rgb916_75%,0.012787723785166238,0.0,0.5,3,0.012787723785166238,0.012787723785166238
rgb312_std,0.012787723785166238,0.0,0.5,3,0.012787723785166238,0.012787723785166238
e356,0.012787723785166238,0.0,0.5,3,0.012787723785166238,0.012787723785166238
rgb973_max,0.012787723785166238,0.0,0.5,3,0.012787723785166238,0.012787723785166238
aud46_max,0.012787723785166238,0.0,0.5,3,0.012787723785166238,0.012787723785166238
rgb723_mean,0.012787723785166238,0.0,0.5,3,0.012787723785166238,0.012787723785166238
aud41_max,0.012787723785166238,0.0,0.5,3,0.012787723785166238,0.012787723785166238
rgb758_std,0.012787723785166238,0.0,0.5,3,0.012787723785166238,0.012787723785166238
rgb32_75%,0.012787723785166238,0.0,0.5,3,0.012787723785166238,0.012787723785166238
rgb345_std,0.012787723785166238,0.0,0.5,3,0.012787723785166238,0.012787723785166238
rgb937_std,0.012787723785166238,0.0,0.5,3,0.012787723785166238,0.012787723785166238
aud102_std,0.012787723785166238,0.0,0.5,3,0.012787723785166238,0.012787723785166238
rgb379_50%,0.012787723785166238,0.0,0.5,3,0.012787723785166238,0.012787723785166238
rgb379_75%,0.012787723785166238,0.0,0.5,3,0.012787723785166238,0.012787723785166238
rgb677_50%,0.012787723785166238,0.0,0.5,3,0.012787723785166238,0.012787723785166238
rgb790_50%,0.012787723785166238,0.0,0.5,3,0.012787723785166238,0.012787723785166238
rgb826_75%,0.012787723785166238,0.0,0.5,3,0.012787723785166238,0.012787723785166238
rgb345_min,0.012787723785166238,0.0,0.5,3,0.012787723785166238,0.012787723785166238
rgb135_75%,0.012787723785166238,0.0,0.5,3,0.012787723785166238,0.012787723785166238
rgb677_25%,0.012787723785166238,0.0,0.5,3,0.012787723785166238,0.012787723785166238
rgb836_min,0.012787723785166238,0.0,0.5,3,0.012787723785166238,0.012787723785166238
rgb900_min,0.012787723785166238,0.0,0.5,3,0.012787723785166238,0.012787723785166238
rgb379_max,0.012787723785166238,0.0,0.5,3,0.012787723785166238,0.012787723785166238
aud92_75%,0.012787723785166238,0.0,0.5,3,0.012787723785166238,0.012787723785166238
